Class,Filename,Width,Height,Size_in_KB
with_mask,with_mask_3433.jpg,1300,1390,148.864
with_mask,with_mask_3391.jpg,749,499,59.766
with_mask,with_mask_3458.jpg,1440,907,88.023
with_mask,with_mask_3408.jpg,218,218,13.084
with_mask,with_mask_340.jpg,112,168,7.438
with_mask,with_mask_3383.jpg,357,349,24.895
with_mask,with_mask_3454.jpg,500,500,46.93
with_mask,with_mask_3384.jpg,1000,1000,75.009
with_mask,with_mask_3387.jpg,1280,720,179.312
with_mask,with_mask_3392.jpg,1066,1600,318.119
with_mask,with_mask_3354.jpg,800,600,33.4
with_mask,with_mask_3440.jpg,475,630,156.952
with_mask,with_mask_3474.jpg,800,533,45.145
with_mask,with_mask_3406.jpg,759,422,36.858
with_mask,with_mask_3357.jpg,1671,2511,162.708
with_mask,with_mask_3362.jpg,1536,768,295.989
with_mask,with_mask_337.jpg,93,103,4.336
with_mask,with_mask_346.jpg,51,83,2.999
with_mask,with_mask_3497.jpg,1100,734,65.666
with_mask,with_mask_3400.jpg,1500,977,251.086
with_mask,with_mask_3382.jpg,952,516,489.222
with_mask,with_mask_3501.jpg,975,649,74.66
with_mask,with_mask_3490.jpg,800,480,30.624
with_mask,with_mask_3476.jpg,1921,1201,173.024
with_mask,with_mask_3506.jpg,800,420,31.066
with_mask,with_mask_3477.jpg,800,450,50.254
with_mask,with_mask_3467.jpg,780,439,27.646
with_mask,with_mask_3396.jpg,400,400,26.08
with_mask,with_mask_3444.jpg,800,450,35.616
with_mask,with_mask_335.jpg,110,157,9.425
with_mask,with_mask_3502.jpg,1168,657,87.73
with_mask,with_mask_3456.jpg,1024,789,86.998
with_mask,with_mask_3507.jpg,768,525,82.971
with_mask,with_mask_3370.jpg,768,384,18.778
with_mask,with_mask_3360.jpg,652,405,67.684
with_mask,with_mask_3495.jpg,540,405,37.031
with_mask,with_mask_3429.jpg,1100,619,87.416
with_mask,with_mask_3451.jpg,1600,900,306.213
with_mask,with_mask_3430.jpg,1280,720,99.585
with_mask,with_mask_3457.jpg,2000,1333,191.632
with_mask,with_mask_3481.jpg,750,445,40.24
with_mask,with_mask_3463.jpg,490,387,15.433
with_mask,with_mask_3379.jpg,205,250,11.028
with_mask,with_mask_3494.jpg,1024,1024,80.218
with_mask,with_mask_3504.jpg,1920,1080,167.97
with_mask,with_mask_3393.jpg,1191,489,147.037
with_mask,with_mask_347.jpg,79,129,3.814
with_mask,with_mask_3448.jpg,2560,1440,255.464
with_mask,with_mask_34.jpg,127,183,10.102
